id,name,state_code,state,spider_prefix
5201405,Aparecida de Goiânia,GO,Goiás,go_aparecida_de_goiania
5201454,Aparecida do Rio Doce,GO,Goiás,go_aparecida_do_rio_doce
1701101,Aparecida do Rio Negro,TO,Tocantins,to_aparecida_do_rio_negro
5001003,Aparecida do Taboado,MS,Mato Grosso do Sul,ms_aparecida_do_taboado
3300159,Aperibé,RJ,Rio de Janeiro,rj_aperibe
3200508,Apiacá,ES,Espírito Santo,es_apiaca
5100805,Apiacás,MT,Mato Grosso,mt_apiacas
3502705,Apiaí,SP,São Paulo,sp_apiai
2100832,Apicum-Açu,MA,Maranhão,ma_apicum_acu
4201257,Apiúna,SC,Santa Catarina,sc_apiuna
2401008,Apodi,RN,Rio Grande do Norte,rn_apodi
2901908,Aporá,BA,Bahia,ba_apora
5201504,Aporé,GO,Goiás,go_apore
2901957,Apuarema,BA,Bahia,ba_apuarema
4101408,Apucarana,PR,Paraná,pr_apucarana
1300144,Apuí,AM,Amazonas,am_apui
2300903,Apuiarés,CE,Ceará,ce_apuiares
2800209,Aquidabã,SE,Sergipe,se_aquidaba
5001102,Aquidauana,MS,Mato Grosso do Sul,ms_aquidauana
2301000,Aquiraz,CE,Ceará,ce_aquiraz
4201273,Arabutã,SC,Santa Catarina,sc_arabuta
2500809,Araçagi,PB,Paraíba,pb_aracagi
3103207,Araçaí,MG,Minas Gerais,mg_aracai
2800308,Aracaju,SE,Sergipe,se_aracaju
3502754,Araçariguama,SP,São Paulo,sp_aracariguama
2902054,Araças,BA,Bahia,ba_aracas
2301109,Aracati,CE,Ceará,ce_aracati
2902005,Aracatu,BA,Bahia,ba_aracatu
3502804,Araçatuba,SP,São Paulo,sp_aracatuba
2902104,Araci,BA,Bahia,ba_araci
3103306,Aracitaba,MG,Minas Gerais,mg_aracitaba
2601052,Araçoiaba,PE,Pernambuco,pe_aracoiaba
2301208,Aracoiaba,CE,Ceará,ce_aracoiaba
3502903,Araçoiaba da Serra,SP,São Paulo,sp_aracoiaba_da_serra
3200607,Aracruz,ES,Espírito Santo,es_aracruz
5201603,Araçu,GO,Goiás,go_aracu
3103405,Araçuaí,MG,Minas Gerais,mg_aracuai
5201702,Aragarças,GO,Goiás,go_aragarcas
5201801,Aragoiânia,GO,Goiás,go_aragoiania
1701309,Aragominas,TO,Tocantins,to_aragominas
1701903,Araguacema,TO,Tocantins,to_araguacema
1702000,Araguaçu,TO,Tocantins,to_araguacu
5101001,Araguaiana,MT,Mato Grosso,mt_araguaiana
1702109,Araguaína,TO,Tocantins,to_araguaina
5101209,Araguainha,MT,Mato Grosso,mt_araguainha
2100873,Araguanã,MA,Maranhão,ma_araguana
1702158,Araguanã,TO,Tocantins,to_araguana
5202155,Araguapaz,GO,Goiás,go_araguapaz
3103504,Araguari,MG,Minas Gerais,mg_araguari
1702208,Araguatins,TO,Tocantins,to_araguatins
2100907,Araioses,MA,Maranhão,ma_araioses
5001243,Aral Moreira,MS,Mato Grosso do Sul,ms_aral_moreira
2902203,Aramari,BA,Bahia,ba_aramari
4300851,Arambaré,RS,Rio Grande do Sul,rs_arambare
2100956,Arame,MA,Maranhão,ma_arame
3503000,Aramina,SP,São Paulo,sp_aramina
3503109,Arandu,SP,São Paulo,sp_arandu
3103603,Arantina,MG,Minas Gerais,mg_arantina
3503158,Arapeí,SP,São Paulo,sp_arapei
2700300,Arapiraca,AL,Alagoas,al_arapiraca
1702307,Arapoema,TO,Tocantins,to_arapoema
3103702,Araponga,MG,Minas Gerais,mg_araponga
4101507,Arapongas,PR,Paraná,pr_arapongas
3103751,Araporã,MG,Minas Gerais,mg_arapora
4101606,Arapoti,PR,Paraná,pr_arapoti
4101655,Arapuã,PR,Paraná,pr_arapua
3103801,Arapuá,MG,Minas Gerais,mg_arapua
5101258,Araputanga,MT,Mato Grosso,mt_araputanga
4201307,Araquari,SC,Santa Catarina,sc_araquari
2500908,Arara,PB,Paraíba,pb_arara
4201406,Araranguá,SC,Santa Catarina,sc_ararangua
3503208,Araraquara,SP,São Paulo,sp_araraquara
3503307,Araras,SP,São Paulo,sp_araras
2301257,Ararendá,CE,Ceará,ce_ararenda
2101004,Arari,MA,Maranhão,ma_arari
4300877,Araricá,RS,Rio Grande do Sul,rs_ararica
2301307,Araripe,CE,Ceará,ce_araripe
2601102,Araripina,PE,Pernambuco,pe_araripina
3300209,Araruama,RJ,Rio de Janeiro,rj_araruama
2501005,Araruna,PB,Paraíba,pb_araruna
4101705,Araruna,PR,Paraná,pr_araruna
2902252,Arataca,BA,Bahia,ba_arataca
4300901,Aratiba,RS,Rio Grande do Sul,rs_aratiba
2301406,Aratuba,CE,Ceará,ce_aratuba
2902302,Aratuípe,BA,Bahia,ba_aratuipe
2800407,Arauá,SE,Sergipe,se_araua
4101804,Araucária,PR,Paraná,pr_araucaria
3103900,Araújos,MG,Minas Gerais,mg_araujos
3104007,Araxá,MG,Minas Gerais,mg_araxa
3104106,Arceburgo,MG,Minas Gerais,mg_arceburgo
3503356,Arco-Íris,SP,São Paulo,sp_arco_iris
3104205,Arcos,MG,Minas Gerais,mg_arcos
2601201,Arcoverde,PE,Pernambuco,pe_arcoverde
3104304,Areado,MG,Minas Gerais,mg_areado
3300225,Areal,RJ,Rio de Janeiro,rj_areal
3503406,Arealva,SP,São Paulo,sp_arealva
2501104,Areia,PB,Paraíba,pb_areia
2401107,Areia Branca,RN,Rio Grande do Norte,rn_areia_branca
2800506,Areia Branca,SE,Sergipe,se_areia_branca
2501153,Areia de Baraúnas,PB,Paraíba,pb_areia_de_baraunas
2501203,Areial,PB,Paraíba,pb_areial
3503505,Areias,SP,São Paulo,sp_areias
3503604,Areiópolis,SP,São Paulo,sp_areiopolis
5101308,Arenápolis,MT,Mato Grosso,mt_arenapolis
5202353,Arenópolis,GO,Goiás,go_arenopolis
2401206,Arês,RN,Rio Grande do Norte,rn_ares
3104403,Argirita,MG,Minas Gerais,mg_argirita
3104452,Aricanduva,MG,Minas Gerais,mg_aricanduva
3104502,Arinos,MG,Minas Gerais,mg_arinos
5101407,Aripuanã,MT,Mato Grosso,mt_aripuana
1100023,Ariquemes,RO,Rondônia,ro_ariquemes
3503703,Ariranha,SP,São Paulo,sp_ariranha
4101853,Ariranha do Ivaí,PR,Paraná,pr_ariranha_do_ivai
3300233,Armação dos Búzios,RJ,Rio de Janeiro,rj_armacao_dos_buzios
4201505,Armazém,SC,Santa Catarina,sc_armazem
2301505,Arneiroz,CE,Ceará,ce_arneiroz
2200905,Aroazes,PI,Piauí,pi_aroazes
2501302,Aroeiras,PB,Paraíba,pb_aroeiras
2201002,Arraial,PI,Piauí,pi_arraial
3300258,Arraial do Cabo,RJ,Rio de Janeiro,rj_arraial_do_cabo
1702406,Arraias,TO,Tocantins,to_arraias
4301008,Arroio do Meio,RS,Rio Grande do Sul,rs_arroio_do_meio
4301073,Arroio do Padre,RS,Rio Grande do Sul,rs_arroio_do_padre
4301057,Arroio do Sal,RS,Rio Grande do Sul,rs_arroio_do_sal
4301206,Arroio do Tigre,RS,Rio Grande do Sul,rs_arroio_do_tigre
4301107,Arroio dos Ratos,RS,Rio Grande do Sul,rs_arroio_dos_ratos
4301305,Arroio Grande,RS,Rio Grande do Sul,rs_arroio_grande
4201604,Arroio Trinta,SC,Santa Catarina,sc_arroio_trinta
3503802,Artur Nogueira,SP,São Paulo,sp_artur_nogueira
5202502,Aruanã,GO,Goiás,go_aruana
3503901,Arujá,SP,São Paulo,sp_aruja
4201653,Arvoredo,SC,Santa Catarina,sc_arvoredo
4301404,Arvorezinha,RS,Rio Grande do Sul,rs_arvorezinha
4201703,Ascurra,SC,Santa Catarina,sc_ascurra
3503950,Aspásia,SP,São Paulo,sp_aspasia
4101903,Assaí,PR,Paraná,pr_assai
2301604,Assaré,CE,Ceará,ce_assare
3504008,Assis,SP,São Paulo,sp_assis
1200054,Assis Brasil,AC,Acre,ac_assis_brasil
4102000,Assis Chateaubriand,PR,Paraná,pr_assis_chateaubriand
2501351,Assunção,PB,Paraíba,pb_assuncao
