entity_id,acronym,name,federal_unity,scope,category,slug
4300554,,Alto Alegre,RS,municipal,municipality,temp
3501103,,Alto Alegre,SP,municipal,municipality,temp
2100436,,Alto Alegre do Maranhão,MA,municipal,municipality,temp
2100477,,Alto Alegre do Pindaré,MA,municipal,municipality,temp
1100379,,Alto Alegre dos Parecis,RO,municipal,municipality,temp
5100300,,Alto Araguaia,MT,municipal,municipality,temp
4200754,,Alto Bela Vista,SC,municipal,municipality,temp
5100359,,Alto Boa Vista,MT,municipal,municipality,temp
3102050,,Alto Caparaó,MG,municipal,municipality,temp
2400703,,Alto do Rodrigues,RN,municipal,municipality,temp
4300570,,Alto Feliz,RS,municipal,municipality,temp
5100409,,Alto Garças,MT,municipal,municipality,temp
5200555,,Alto Horizonte,GO,municipal,municipality,temp
3153509,,Alto Jequitibá,MG,municipal,municipality,temp
2200301,,Alto Longá,PI,municipal,municipality,temp
5100508,,Alto Paraguai,MT,municipal,municipality,temp
4128625,,Alto Paraíso,PR,municipal,municipality,temp
1100403,,Alto Paraíso,RO,municipal,municipality,temp
5200605,,Alto Paraíso de Goiás,GO,municipal,municipality,temp
4100608,,Alto Paraná,PR,municipal,municipality,temp
2100501,,Alto Parnaíba,MA,municipal,municipality,temp
4100707,,Alto Piquiri,PR,municipal,municipality,temp
3102100,,Alto Rio Doce,MG,municipal,municipality,temp
3200359,,Alto Rio Novo,ES,municipal,municipality,temp
2300705,,Alto Santo,CE,municipal,municipality,temp
5100607,,Alto Taquari,MT,municipal,municipality,temp
4100509,,Altônia,PR,municipal,municipality,temp
2200400,,Altos,PI,municipal,municipality,temp
3501152,,Alumínio,SP,municipal,municipality,temp
1300029,,Alvarães,AM,municipal,municipality,temp
3102209,,Alvarenga,MG,municipal,municipality,temp
3501202,,Álvares Florence,SP,municipal,municipality,temp
3501301,,Álvares Machado,SP,municipal,municipality,temp
3501400,,Álvaro de Carvalho,SP,municipal,municipality,temp
3501509,,Alvinlândia,SP,municipal,municipality,temp
3102308,,Alvinópolis,MG,municipal,municipality,temp
4300604,,Alvorada,RS,municipal,municipality,temp
1700707,,Alvorada,TO,municipal,municipality,temp
1100346,,Alvorada D'Oeste,RO,municipal,municipality,temp
3102407,,Alvorada de Minas,MG,municipal,municipality,temp
2200459,,Alvorada do Gurguéia,PI,municipal,municipality,temp
5200803,,Alvorada do Norte,GO,municipal,municipality,temp
4100806,,Alvorada do Sul,PR,municipal,municipality,temp
1400027,,Amajari,RR,municipal,municipality,temp
5000609,,Amambai,MS,municipal,municipality,temp
1600105,,Amapá,AP,municipal,municipality,temp
2100550,,Amapá do Maranhão,MA,municipal,municipality,temp
4100905,,Amaporã,PR,municipal,municipality,temp
2600906,,Amaraji,PE,municipal,municipality,temp
4300638,,Amaral Ferrador,RS,municipal,municipality,temp
5200829,,Amaralina,GO,municipal,municipality,temp
2200509,,Amarante,PI,municipal,municipality,temp
2100600,,Amarante do Maranhão,MA,municipal,municipality,temp
2901007,,Amargosa,BA,municipal,municipality,temp
1300060,,Amaturá,AM,municipal,municipality,temp
2901106,,Amélia Rodrigues,BA,municipal,municipality,temp
2901155,,América Dourada,BA,municipal,municipality,temp
3501608,,Americana,SP,municipal,municipality,temp
5200852,,Americano do Brasil,GO,municipal,municipality,temp
3501707,,Américo Brasiliense,SP,municipal,municipality,temp
3501806,,Américo de Campos,SP,municipal,municipality,temp
4300646,,Ametista do Sul,RS,municipal,municipality,temp
2300754,,Amontada,CE,municipal,municipality,temp
5200902,,Amorinópolis,GO,municipal,municipality,temp
2500734,,Amparo,PB,municipal,municipality,temp
3501905,,Amparo,SP,municipal,municipality,temp
2800100,,Amparo de São Francisco,SE,municipal,municipality,temp
3102506,,Amparo do Serra,MG,municipal,municipality,temp
4101002,,Ampére,PR,municipal,municipality,temp
2700201,,Anadia,AL,municipal,municipality,temp
2901205,,Anagé,BA,municipal,municipality,temp
4101051,,Anahy,PR,municipal,municipality,temp
1500701,,Anajás,PA,municipal,municipality,temp
2100709,,Anajatuba,MA,municipal,municipality,temp
3502002,,Analândia,SP,municipal,municipality,temp
1300086,,Anamã,AM,municipal,municipality,temp
1701002,,Ananás,TO,municipal,municipality,temp
1500800,,Ananindeua,PA,municipal,municipality,temp
5201108,,Anápolis,GO,municipal,municipality,temp
1500859,,Anapu,PA,municipal,municipality,temp
2100808,,Anapurus,MA,municipal,municipality,temp
5000708,,Anastácio,MS,municipal,municipality,temp
5000807,,Anaurilândia,MS,municipal,municipality,temp
3200409,,Anchieta,ES,municipal,municipality,temp
4200804,,Anchieta,SC,municipal,municipality,temp
2901304,,Andaraí,BA,municipal,municipality,temp
4101101,,Andirá,PR,municipal,municipality,temp
2901353,,Andorinha,BA,municipal,municipality,temp
3102605,,Andradas,MG,municipal,municipality,temp
3502101,,Andradina,SP,municipal,municipality,temp
4300661,,André da Rocha,RS,municipal,municipality,temp
3102803,,Andrelândia,MG,municipal,municipality,temp
3502200,,Angatuba,SP,municipal,municipality,temp
3102852,,Angelândia,MG,municipal,municipality,temp
5000856,,Angélica,MS,municipal,municipality,temp
2601003,,Angelim,PE,municipal,municipality,temp
4200903,,Angelina,SC,municipal,municipality,temp
2901403,,Angical,BA,municipal,municipality,temp
2200608,,Angical do Piauí,PI,municipal,municipality,temp
1701051,,Angico,TO,municipal,municipality,temp
2400802,,Angicos,RN,municipal,municipality,temp
3300100,,Angra dos Reis,RJ,municipal,municipality,temp
2901502,,Anguera,BA,municipal,municipality,temp
4101150,,Ângulo,PR,municipal,municipality,temp
5201207,,Anhanguera,GO,municipal,municipality,temp
3502309,,Anhembi,SP,municipal,municipality,temp
3502408,,Anhumas,SP,municipal,municipality,temp
5201306,,Anicuns,GO,municipal,municipality,temp
2200707,,Anísio de Abreu,PI,municipal,municipality,temp
4201000,,Anita Garibaldi,SC,municipal,municipality,temp
4201109,,Anitápolis,SC,municipal,municipality,temp
1300102,,Anori,AM,municipal,municipality,temp
4300703,,Anta Gorda,RS,municipal,municipality,temp
2901601,,Antas,BA,municipal,municipality,temp
4101200,,Antonina,PR,municipal,municipality,temp
2300804,,Antonina do Norte,CE,municipal,municipality,temp
2200806,,Antônio Almeida,PI,municipal,municipality,temp
2901700,,Antônio Cardoso,BA,municipal,municipality,temp
3102902,,Antônio Carlos,MG,municipal,municipality,temp
4201208,,Antônio Carlos,SC,municipal,municipality,temp
3103009,,Antônio Dias,MG,municipal,municipality,temp
2901809,,Antônio Gonçalves,BA,municipal,municipality,temp
5000906,,Antônio João,MS,municipal,municipality,temp
2400901,,Antônio Martins,RN,municipal,municipality,temp
