UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
31,Minas Gerais,04,Vale do Mucuri,016,Nanuque,44300,3144300,Nanuque
31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,44359,3144359,Naque
31,Minas Gerais,01,Noroeste de Minas,001,Unaí,44375,3144375,Natalândia
31,Minas Gerais,10,Sul/Sudoeste de Minas,053,Santa Rita do Sapucaí,44409,3144409,Natércia
31,Minas Gerais,11,Campo das Vertentes,058,São João Del Rei,44508,3144508,Nazareno
31,Minas Gerais,11,Campo das Vertentes,057,Lavras,44607,3144607,Nepomuceno
31,Minas Gerais,02,Norte de Minas,005,Salinas,44656,3144656,Ninheira
31,Minas Gerais,08,Vale do Rio Doce,038,Mantena,44672,3144672,Nova Belém
31,Minas Gerais,07,Metropolitana de Belo Horizonte,031,Itabira,44706,3144706,Nova Era
31,Minas Gerais,07,Metropolitana de Belo Horizonte,030,Belo Horizonte,44805,3144805,Nova Lima
31,Minas Gerais,08,Vale do Rio Doce,037,Governador Valadares,44904,3144904,Nova Módica
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,023,Araxá,45000,3145000,Nova Ponte
31,Minas Gerais,02,Norte de Minas,004,Janaúba,45059,3145059,Nova Porteirinha
31,Minas Gerais,10,Sul/Sudoeste de Minas,048,São Sebastião do Paraíso,45109,3145109,Nova Resende
31,Minas Gerais,09,Oeste de Minas,043,Divinópolis,45208,3145208,Nova Serrana
31,Minas Gerais,07,Metropolitana de Belo Horizonte,031,Itabira,36603,3136603,Nova União
31,Minas Gerais,03,Jequitinhonha,012,Araçuaí,45307,3145307,Novo Cruzeiro
31,Minas Gerais,04,Vale do Mucuri,015,Teófilo Otoni,45356,3145356,Novo Oriente de Minas
31,Minas Gerais,02,Norte de Minas,005,Salinas,45372,3145372,Novorizonte
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,45406,3145406,Olaria
31,Minas Gerais,02,Norte de Minas,009,Bocaiúva,45455,3145455,Olhos-d'Água
31,Minas Gerais,10,Sul/Sudoeste de Minas,054,São Lourenço,45505,3145505,Olímpio Noronha
31,Minas Gerais,09,Oeste de Minas,046,Oliveira,45604,3145604,Oliveira
31,Minas Gerais,12,Zona da Mata,065,Juiz de Fora,45703,3145703,Oliveira Fortes
31,Minas Gerais,07,Metropolitana de Belo Horizonte,029,Pará de Minas,45802,3145802,Onça de Pitangui
31,Minas Gerais,12,Zona da Mata,060,Ponte Nova,45851,3145851,Oratórios
